78,x, 1,=,78
78,x, 2,=,156
78,x, 3,=,234
78,x, 4,=,312
78,x, 5,=,390
78,x, 6,=,468
78,x, 7,=,546
78,x, 8,=,624
78,x, 9,=,702
78,x, 10,=,780
4,x, 1,=,4
4,x, 2,=,8
4,x, 3,=,12
4,x, 4,=,16
4,x, 5,=,20
4,x, 6,=,24
4,x, 7,=,28
4,x, 8,=,32
4,x, 9,=,36
4,x, 10,=,40

5,x, 1,=,5

5,x, 2,=,10

5,x, 3,=,15

5,x, 4,=,20

5,x, 5,=,25

5,x, 6,=,30

5,x, 7,=,35

5,x, 8,=,40

5,x, 9,=,45

5,x, 10,=,50
5,x, 1,=,5
5,x, 2,=,10
5,x, 3,=,15
5,x, 4,=,20
5,x, 5,=,25
5,x, 6,=,30
5,x, 7,=,35
5,x, 8,=,40
5,x, 9,=,45
5,x, 10,=,50
